Parametro,Timestamp,Value,NmeComp
AccelerationX,28-Apr-2022 09:18:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 09:18:12,1.0,MainPumpP1
AccelerationZ,28-Apr-2022 09:21:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 09:21:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 09:21:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 09:24:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 09:24:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 09:24:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 09:27:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 09:27:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 09:27:12,1.1,MainPumpP1
AccelerationZ,28-Apr-2022 09:30:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 09:30:12,0.2,MainPumpP1
AccelerationY,28-Apr-2022 09:30:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 09:33:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 09:33:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 09:33:12,1.2,MainPumpP1
AccelerationZ,28-Apr-2022 09:36:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 09:36:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 09:36:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 09:39:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 09:39:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 09:39:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 09:42:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 09:42:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 09:42:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 09:45:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 09:45:12,0.8,MainPumpP1
AccelerationY,28-Apr-2022 09:45:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 09:48:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 09:48:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 09:48:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 09:51:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 09:51:12,1.4,MainPumpP1
AccelerationY,28-Apr-2022 09:51:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 09:54:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 09:54:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 09:54:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 09:57:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 09:57:12,0.3,MainPumpP1
AccelerationY,28-Apr-2022 09:57:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 10:00:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 10:00:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:00:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 10:03:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 10:03:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 10:03:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 10:06:12,1.5,MainPumpP1
AccelerationX,28-Apr-2022 10:06:12,1.4,MainPumpP1
AccelerationY,28-Apr-2022 10:06:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 10:09:12,1.3,MainPumpP1
AccelerationX,28-Apr-2022 10:09:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 10:09:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 10:12:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 10:12:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:12:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 10:15:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 10:15:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 10:15:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 10:18:12,1.5,MainPumpP1
AccelerationX,28-Apr-2022 10:18:12,1.5,MainPumpP1
AccelerationY,28-Apr-2022 10:18:12,1.0,MainPumpP1
AccelerationZ,28-Apr-2022 10:21:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 10:21:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:21:12,1.3,MainPumpP1
AccelerationZ,28-Apr-2022 10:24:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 10:24:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 10:24:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 10:27:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 10:27:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 10:27:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 10:30:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 10:30:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:30:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 10:33:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 10:33:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 10:33:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 10:36:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 10:36:12,0.8,MainPumpP1
AccelerationY,28-Apr-2022 10:36:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 10:39:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 10:39:12,0.8,MainPumpP1
AccelerationY,28-Apr-2022 10:39:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 10:42:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 10:42:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:42:12,1.1,MainPumpP1
AccelerationZ,28-Apr-2022 10:45:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 10:45:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 10:45:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 10:48:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 10:48:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 10:48:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 10:51:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 10:51:12,0.3,MainPumpP1
AccelerationY,28-Apr-2022 10:51:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 10:54:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 10:54:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 10:54:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 10:57:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 10:57:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 10:57:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:00:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 11:00:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 11:00:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 11:03:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 11:03:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 11:03:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:06:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 11:06:12,0.3,MainPumpP1
AccelerationY,28-Apr-2022 11:06:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 11:09:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 11:09:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 11:09:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 11:12:12,0.6,MainPumpP1
AccelerationX,28-Apr-2022 11:12:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 11:12:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:15:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 11:15:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 11:15:12,1.2,MainPumpP1
AccelerationZ,28-Apr-2022 11:18:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 11:18:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 11:18:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:21:12,1.3,MainPumpP1
AccelerationX,28-Apr-2022 11:21:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 11:21:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 11:24:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 11:24:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 11:24:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 11:27:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 11:27:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 11:27:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 11:30:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 11:30:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 11:30:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:33:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 11:33:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 11:33:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 11:36:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 11:36:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 11:36:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 11:39:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 11:39:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 11:39:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 11:42:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 11:42:12,0.3,MainPumpP1
AccelerationY,28-Apr-2022 11:42:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 11:45:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 11:45:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 11:45:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:48:12,1.4,MainPumpP1
AccelerationX,28-Apr-2022 11:48:12,1.5,MainPumpP1
AccelerationY,28-Apr-2022 11:48:12,1.1,MainPumpP1
AccelerationZ,28-Apr-2022 11:51:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 11:51:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 11:51:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 11:54:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 11:54:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 11:54:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 11:57:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 11:57:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 11:57:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 12:00:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 12:00:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:00:12,1.0,MainPumpP1
AccelerationZ,28-Apr-2022 12:03:12,1.5,MainPumpP1
AccelerationX,28-Apr-2022 12:03:12,1.5,MainPumpP1
AccelerationY,28-Apr-2022 12:03:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 12:06:12,1.6,MainPumpP1
AccelerationX,28-Apr-2022 12:06:12,1.3,MainPumpP1
AccelerationY,28-Apr-2022 12:06:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 12:09:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 12:09:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 12:09:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 12:12:12,1.5,MainPumpP1
AccelerationX,28-Apr-2022 12:12:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:12:12,1.1,MainPumpP1
AccelerationZ,28-Apr-2022 12:15:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 12:15:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 12:15:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 12:18:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 12:18:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 12:18:12,1.1,MainPumpP1
AccelerationZ,28-Apr-2022 12:21:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 12:21:12,0.3,MainPumpP1
AccelerationY,28-Apr-2022 12:21:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 12:24:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 12:24:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 12:24:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 12:27:12,1.0,MainPumpP1
AccelerationX,28-Apr-2022 12:27:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:27:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 12:30:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 12:30:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:30:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 12:33:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 12:33:12,0.7,MainPumpP1
AccelerationY,28-Apr-2022 12:33:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 12:36:12,1.3,MainPumpP1
AccelerationX,28-Apr-2022 12:36:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:36:12,1.2,MainPumpP1
AccelerationZ,28-Apr-2022 12:39:12,1.1,MainPumpP1
AccelerationX,28-Apr-2022 12:39:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 12:39:12,0.8,MainPumpP1
AccelerationZ,28-Apr-2022 12:42:12,1.5,MainPumpP1
AccelerationX,28-Apr-2022 12:42:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 12:42:12,1.2,MainPumpP1
AccelerationZ,28-Apr-2022 12:45:12,1.3,MainPumpP1
AccelerationX,28-Apr-2022 12:45:12,1.0,MainPumpP1
AccelerationY,28-Apr-2022 12:45:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 12:48:12,1.6,MainPumpP1
AccelerationX,28-Apr-2022 12:48:12,1.5,MainPumpP1
AccelerationY,28-Apr-2022 12:48:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 12:51:12,1.9,MainPumpP1
AccelerationX,28-Apr-2022 12:51:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 12:51:12,1.5,MainPumpP1
AccelerationZ,28-Apr-2022 12:54:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 12:54:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 12:54:12,0.7,MainPumpP1
AccelerationZ,28-Apr-2022 12:57:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 12:57:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 12:57:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 13:00:12,0.9,MainPumpP1
AccelerationX,28-Apr-2022 13:00:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 13:00:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 13:03:12,0.8,MainPumpP1
AccelerationX,28-Apr-2022 13:03:12,0.9,MainPumpP1
AccelerationY,28-Apr-2022 13:03:12,0.6,MainPumpP1
AccelerationZ,28-Apr-2022 13:06:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 13:06:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:06:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:09:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 13:09:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:09:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:12:12,0.2,MainPumpP1
AccelerationX,28-Apr-2022 13:12:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:12:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:15:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 13:15:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:15:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:18:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 13:18:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:18:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:21:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 13:21:12,1.2,MainPumpP1
AccelerationY,28-Apr-2022 13:21:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 13:24:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 13:24:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 13:24:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 13:27:12,1.2,MainPumpP1
AccelerationX,28-Apr-2022 13:27:12,1.1,MainPumpP1
AccelerationY,28-Apr-2022 13:27:12,0.9,MainPumpP1
AccelerationZ,28-Apr-2022 15:03:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 15:03:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 15:03:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 15:06:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 15:06:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 15:06:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 15:09:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 15:09:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 15:09:12,0.2,MainPumpP1
AccelerationZ,28-Apr-2022 15:12:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 15:12:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 15:12:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 15:15:12,0.3,MainPumpP1
AccelerationX,28-Apr-2022 15:15:12,0.4,MainPumpP1
AccelerationY,28-Apr-2022 15:15:12,0.3,MainPumpP1
AccelerationZ,28-Apr-2022 15:18:12,0.4,MainPumpP1
AccelerationX,28-Apr-2022 15:18:12,0.5,MainPumpP1
AccelerationY,28-Apr-2022 15:18:12,0.6,MainPumpP1
Temperature,11-Apr-2022 12:19:10,28.8,MainPumpP1
Temperature,11-Apr-2022 12:22:10,28.6,MainPumpP1
Temperature,11-Apr-2022 12:25:10,28.5,MainPumpP1
Temperature,11-Apr-2022 12:28:10,28.4,MainPumpP1
Temperature,11-Apr-2022 12:31:10,28.3,MainPumpP1
Temperature,11-Apr-2022 12:34:10,28.3,MainPumpP1
Temperature,11-Apr-2022 12:37:10,28.2,MainPumpP1
Temperature,11-Apr-2022 12:40:10,28.2,MainPumpP1
Temperature,11-Apr-2022 12:43:10,28.1,MainPumpP1
Temperature,11-Apr-2022 12:46:10,28.1,MainPumpP1
Temperature,11-Apr-2022 12:49:10,28.1,MainPumpP1
Temperature,11-Apr-2022 12:52:10,28.0,MainPumpP1
Temperature,11-Apr-2022 12:55:10,28.0,MainPumpP1
Temperature,11-Apr-2022 12:58:10,27.9,MainPumpP1
Temperature,11-Apr-2022 13:01:10,27.8,MainPumpP1
Temperature,11-Apr-2022 13:04:10,27.8,MainPumpP1
Temperature,11-Apr-2022 13:07:10,27.8,MainPumpP1
Temperature,11-Apr-2022 13:10:10,27.8,MainPumpP1
Temperature,11-Apr-2022 13:13:10,27.8,MainPumpP1
Temperature,11-Apr-2022 13:16:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:19:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:22:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:25:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:28:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:31:10,27.7,MainPumpP1
Temperature,11-Apr-2022 13:34:10,27.6,MainPumpP1
Temperature,11-Apr-2022 13:37:10,27.5,MainPumpP1
Temperature,11-Apr-2022 13:40:10,27.5,MainPumpP1
Temperature,11-Apr-2022 13:43:10,27.4,MainPumpP1
Temperature,11-Apr-2022 13:46:10,27.4,MainPumpP1
Temperature,11-Apr-2022 13:49:10,27.4,MainPumpP1
Temperature,11-Apr-2022 13:52:10,27.4,MainPumpP1
Temperature,11-Apr-2022 13:55:10,27.4,MainPumpP1
Temperature,11-Apr-2022 13:56:52,27.3,MainPumpP1
Temperature,11-Apr-2022 13:59:52,27.3,MainPumpP1
Temperature,11-Apr-2022 14:02:52,27.3,MainPumpP1
Temperature,11-Apr-2022 14:05:52,27.3,MainPumpP1
Temperature,11-Apr-2022 14:08:52,27.3,MainPumpP1
Temperature,11-Apr-2022 14:11:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:14:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:17:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:20:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:23:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:26:52,27.4,MainPumpP1
Temperature,11-Apr-2022 14:29:52,27.5,MainPumpP1
Temperature,11-Apr-2022 14:32:52,27.5,MainPumpP1
Temperature,11-Apr-2022 14:35:52,27.5,MainPumpP1
Temperature,11-Apr-2022 14:38:52,27.5,MainPumpP1
Temperature,11-Apr-2022 14:41:52,27.6,MainPumpP1
Temperature,11-Apr-2022 14:44:52,27.6,MainPumpP1
Temperature,11-Apr-2022 14:47:52,27.5,MainPumpP1
Temperature,11-Apr-2022 14:50:52,27.6,MainPumpP1
Temperature,11-Apr-2022 14:53:52,27.6,MainPumpP1
Temperature,11-Apr-2022 14:56:52,27.6,MainPumpP1
Temperature,11-Apr-2022 14:59:52,27.5,MainPumpP1
Temperature,11-Apr-2022 15:02:52,27.5,MainPumpP1
Temperature,11-Apr-2022 15:05:52,27.5,MainPumpP1
Temperature,11-Apr-2022 15:08:52,27.4,MainPumpP1
Temperature,11-Apr-2022 15:11:52,27.3,MainPumpP1
Temperature,11-Apr-2022 15:14:52,27.2,MainPumpP1
Temperature,11-Apr-2022 15:17:52,27.1,MainPumpP1
Temperature,11-Apr-2022 15:20:52,27.0,MainPumpP1
Temperature,11-Apr-2022 15:23:52,27.0,MainPumpP1
Temperature,11-Apr-2022 15:26:52,27.0,MainPumpP1
Temperature,11-Apr-2022 15:29:52,26.9,MainPumpP1
Temperature,11-Apr-2022 15:32:52,26.9,MainPumpP1
Temperature,11-Apr-2022 15:35:52,26.8,MainPumpP1
Temperature,11-Apr-2022 15:38:52,26.8,MainPumpP1
Temperature,11-Apr-2022 15:41:52,26.8,MainPumpP1
Temperature,11-Apr-2022 15:44:52,26.7,MainPumpP1
Temperature,11-Apr-2022 15:47:52,26.7,MainPumpP1
Temperature,11-Apr-2022 15:50:52,26.7,MainPumpP1
Temperature,11-Apr-2022 15:53:52,26.6,MainPumpP1
Temperature,11-Apr-2022 15:56:52,26.6,MainPumpP1
Temperature,11-Apr-2022 15:59:52,26.6,MainPumpP1
Temperature,11-Apr-2022 16:02:52,26.7,MainPumpP1
Temperature,11-Apr-2022 16:05:52,26.7,MainPumpP1
Temperature,11-Apr-2022 16:08:52,26.7,MainPumpP1
Temperature,11-Apr-2022 16:11:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:14:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:17:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:20:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:23:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:26:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:29:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:32:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:35:52,26.8,MainPumpP1
Temperature,11-Apr-2022 16:38:52,26.7,MainPumpP1
Temperature,11-Apr-2022 16:41:52,26.4,MainPumpP1
Temperature,11-Apr-2022 16:44:52,26.2,MainPumpP1
Temperature,11-Apr-2022 16:47:52,26.0,MainPumpP1
Temperature,11-Apr-2022 16:50:52,25.8,MainPumpP1
Temperature,11-Apr-2022 16:53:52,25.7,MainPumpP1
Temperature,11-Apr-2022 16:56:52,25.7,MainPumpP1
Temperature,11-Apr-2022 16:59:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:02:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:05:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:08:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:11:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:14:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:17:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:20:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:23:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:26:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:29:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:32:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:35:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:38:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:41:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:44:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:47:52,25.6,MainPumpP1
Temperature,11-Apr-2022 17:50:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:53:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:56:52,25.7,MainPumpP1
Temperature,11-Apr-2022 17:59:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:02:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:05:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:08:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:11:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:14:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:17:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:20:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:23:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:26:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:29:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:32:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:35:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:38:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:41:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:44:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:47:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:50:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:53:52,25.7,MainPumpP1
Temperature,11-Apr-2022 18:56:52,25.9,MainPumpP1
Temperature,11-Apr-2022 18:59:52,26.1,MainPumpP1
Temperature,11-Apr-2022 19:02:52,26.2,MainPumpP1
Temperature,11-Apr-2022 19:05:52,26.3,MainPumpP1
Temperature,11-Apr-2022 19:08:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:11:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:14:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:17:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:20:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:23:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:26:52,26.5,MainPumpP1
Temperature,11-Apr-2022 19:29:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:32:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:35:52,26.4,MainPumpP1
Temperature,11-Apr-2022 19:38:52,26.3,MainPumpP1
